TERM,SCHEMA
LB Plates,"Definition: Lysogeny Broth (LB) agar plates are a nutrient-rich medium used for the growth of bacteria, especially Escherichia coli. Composition: Contains tryptone, yeast extract, and sodium chloride, which provide essential nutrients for bacterial growth. Application: Widely used in molecular biology and microbiology for cloning, plasmid propagation, and general bacterial culture. Example: E. coli cultures are often grown on LB plates to select for transformed colonies."
MacConkey Plates,"Definition: MacConkey agar plates are a selective and differential medium designed to isolate and differentiate enteric bacteria based on their ability to ferment lactose. Composition: Contains bile salts, crystal violet, lactose, and neutral red dye. Application: Used primarily to identify and differentiate between Gram-negative bacteria, such as E. coli (lactose fermenter) and Salmonella (non-lactose fermenter). Example: Soil samples are plated on MacConkey agar to detect and differentiate coliform bacteria."
Selective Media,"Definition: Culture media designed to selectively grow specific types of microorganisms while inhibiting the growth of others. Application: Used to isolate and identify target organisms from complex microbial communities. Example: MacConkey agar is selective for Gram-negative bacteria, allowing for the differentiation of lactose fermenters and non-fermenters."
Differential Media,Definition: Culture media that allow for the differentiation of microorganisms based on their biochemical or metabolic properties. Application: Used to distinguish between different species or strains of bacteria based on specific characteristics. Example: Blood agar differentiates between hemolytic and non-hemolytic bacteria based on their ability to lyse red blood cells.
T-test,"Definition: A statistical test used to compare the means of two groups to determine if they are significantly different from each other. Types: 1-tailed and 2-tailed t-tests. A 2-tailed t-test is used when no assumption is made about which group will have a higher mean. Calculation: The t-test results in a t-statistic, which is influenced by the difference between group means and the variation within each group. Bigger differences in means, smaller standard deviations, larger sample sizes all result in smaller p-values. Application: Often used in experiments to compare the means of two sets of continuous data. Example: In an experiment comparing correct and incorrect pipetting techniques, a t-test can determine if the observed volumes pipetted are significantly different."
Mean,"Definition: The average value of a set of numbers, calculated by summing all the values and dividing by the number of values. Calculation: Mean μ = ∑xi / N, where xi is each individual value and N is the number of values. Application: Used to determine the central tendency of a data set, providing a simple summary of the overall distribution of values. Example: In experiments, the mean volume of liquid pipetted using a specific technique can be compared to determine accuracy and precision."
Primary Research Articles,"Definition: Articles that report original research findings, including detailed methodology, data analysis, and conclusions. Process: Written by scientists, reviewed by peers in the same field, and published in scientific journals. Application: Provides firsthand accounts of research studies and is used to support further research and experiments. Example: An article detailing the results of an experiment on the effects of soil pH on microbial diversity."
Secondary Review Articles,"Definition: Articles that synthesize and summarize the findings from multiple primary research studies on a specific topic. Purpose: To provide a comprehensive overview and highlight trends, gaps, and future directions in the research area. Application: Used to gain a broad understanding of a field and to identify key studies and findings. Example: A review article summarizing various studies on the impact of climate change on plant biodiversity."
Peer-Review Process,"Definition: A critical evaluation process where experts in the same field review a research manuscript for accuracy, quality, and relevance before it is published. Steps: Includes submission, review by peers, feedback, revisions, and final decision on publication. Application: Ensures the integrity and credibility of scientific literature. Example: A submitted manuscript on a new genetic sequencing technique undergoes peer review to verify its methods and findings."
Popular Science Articles,"Definition: Articles that summarize and explain scientific research and concepts for a general audience. Purpose: To make scientific knowledge accessible and understandable to non-specialists. Application: Used to increase public understanding and interest in science, often found in magazines, newspapers, and online platforms. Example: An article in a science magazine explaining the latest discoveries in microbiome research."
PPE (Personal Protective Equipment),"Definition: Equipment worn to minimize exposure to hazards that can cause serious injuries and illnesses. Components: Includes lab coats, gloves, safety goggles, and closed-toe shoes. Application: Essential for maintaining safety during experiments to protect against chemical spills, splashes, and other hazards. Example: In the lab, wearing PPE is mandatory when you or anyone else in the same research space is handling chemicals and biological samples to prevent contamination and injury."
Proper Lab Attire,"Definition: Appropriate clothing and gear worn in a lab setting to ensure safety. Components: Includes closed-toed shoes, long pants, lab coats, and ensuring no skin is exposed below the lab coat. Application: Prevents exposure to hazardous materials and ensures compliance with safety regulations. Example: Students must wear proper lab attire during all lab sessions to participate and avoid potential safety hazards."
Scientific Method,"Definition: A systematic process for conducting scientific research that involves making observations, forming a hypothesis, conducting experiments, analyzing data, and drawing conclusions. Steps: Observation, hypothesis, experimentation, data analysis, and conclusion. Application: Used to ensure experiments are conducted in a structured and unbiased manner. Example: In the lab, students use the scientific method to test hypotheses about soil pH and its effect on microbial diversity."
California sagebrush (Artemesia californica),"Definition: A shrub native to California known for its aromatic leaves and adaptations to dry conditions. Characteristics: Gray-green, feathery foliage that becomes drought-deciduous, losing its leaves during dry seasons to conserve water. Application: Studied in the lab for its ecological role and adaptation strategies in coastal sage scrub habitats. Example: In fieldwork, students observe California sagebrush to understand its survival mechanisms and impact on soil properties."
Lemonadeberry (Rhus integrifolia),"Definition: A shrub native to California known for its clusters of red berries and thick, waxy leaves. Characteristics: Has sclerophyllous leaves that reduce water loss and allow for year-round photosynthesis. Application: Studied for its adaptation to dry conditions and its ecological role in coastal sage scrub habitats. Example: In fieldwork, students examine lemonadeberry to understand how its leaf structure aids in drought resistance."
Beyonce Tamed A Rhino (mnemonic for lab steps),Definition: A mnemonic to remember key steps in conducting lab procedures. Steps: 1. Breathe: Stay calm and take a pause before rushing to action. 2. Think: Analyze the situation and plan your steps. Where can you find resources or confirm what to correctly do next. 3. Ask: Clarify doubts and ask for help if needed of either group mates or supervisors. 4. Record: Document all observations and procedures meticulously. Application: Helps students maintain a systematic and calm approach during experiments. Example: Used during pipetting exercises to ensure students follow proper technique and documentation.
"P10, P100, P1000 micropipetters","Definition: Types of micropipettes designed for measuring and transferring specific volumes of liquid. Volume Ranges: P10: 0.5–10 µL, P100: 10–100 µL, P1000: 100–1000 µL. 1000 µL = 1mL. Application: Used in experiments requiring precise liquid handling, such as DNA extraction and PCR setup. Example: In pipetting exercises, different micropipettes are used to measure and transfer precise volumes of water or reagents."
Tare,"Definition: Setting the balance to zero with the container on it so that the measurement excludes the container's weight. Application: Ensures accurate measurement of the sample's weight by excluding the weight of the container. Example: When measuring soil samples, the balance is tared with the empty vial to exclude its weight from the measurement."
Deionized (DI) water,"Definition: Water that has had almost all of its mineral ions removed, making it highly pure. Application: Used in experiments to prevent contamination and ensure the accuracy of results. Example: DI water is used to rinse pH meters and prepare solutions for soil analysis."
Scripps Coastal Reserve (SCR),"Definition: A natural reserve managed by UCSD as part of the UC Natural Reserve System, used for research and education. Characteristics: Hosts over 200 plant species and various habitats, including coastal sage scrub. Application: Used in field studies to collect soil samples and observe plant adaptations. Example: Students conduct field trips to SCR to collect soil samples and study plant ecology."
Microbiome,"Definition: A community of microorganisms (bacteria, fungi, viruses, etc.) that inhabit a particular environment, such as soil, water, or the human gut. Application: Understanding the microbiome is essential for studying ecological interactions and environmental health. Example: Analyzing the soil microbiome to determine the impact of different plants on microbial diversity."
Nitrile Gloves,"Definition: Disposable gloves made from synthetic rubber, providing protection against chemicals and infectious agents. Application: Used in laboratory settings to protect hands from exposure to hazardous substances and to prevent contamination of samples. Example: Worn by students during experiments involving chemicals or biological samples to ensure safety and cleanliness."
Using a Balance,"Definition: The process of measuring the mass of an object using a laboratory balance. Steps: 1. Ensure the balance is on a stable, level surface. 2. Calibrate the balance if necessary. 3. Tare the balance with an empty container if using one. 4. Place the object or sample on the balance and record the mass. Application: Essential for obtaining accurate measurements of samples in experiments. Example: Used to measure the mass of soil samples before and after drying to determine soil moisture content."
Excel Function =AVERAGE,"Definition: A function in Excel used to calculate the mean of a range of numbers. Formula: =AVERAGE(number1, [number2], ...). Application: Useful for determining the central tendency of a dataset in lab reports and data analysis. Example: =AVERAGE(A1:A10) calculates the average value of the numbers in cells A1 through A10."
Excel Function =STDEV,"Definition: A function in Excel used to calculate the standard deviation of a range of numbers. Formula: =STDEV(number1, [number2], ...). Application: Used to measure the amount of variation or dispersion in a dataset, important for data analysis in experiments. Example: =STDEV(A1:A10) calculates the standard deviation of the numbers in cells A1 through A10."
Excel Function =TTEST,"Definition: A function in Excel used to perform a t-test to compare the means of two samples. Formula: =TTEST(array1, array2, tails, type). Application: Used in statistical analysis to determine if there is a significant difference between the means of two datasets. Example: =TTEST(A1:A10, B1:B10, 2, 2) performs a two-tailed t-test assuming two samples with equal variances, comparing the means of the numbers in cells A1:A10 and B1:B10."
cognitive bias,"Definition: A systematic pattern of deviation from norm or rationality in judgment, whereby inferences about other people and situations may be drawn in an illogical fashion. Types: Confirmation bias, anchoring bias, availability heuristic, etc. Application: Important to recognize and address cognitive biases in scientific research to ensure objectivity and validity of results. Example: Researchers must be aware of confirmation bias when interpreting data to avoid favoring results that confirm their hypotheses."
Positive Control,"Definition: A control group in an experiment that is expected to produce a known effect and is used to ensure that the experimental setup can produce reliable results; Course Example: In a PCR experiment, a sample with a known DNA sequence is used as a positive control to ensure the PCR process is working; Application: Ensures that the experiment can detect the effect under investigation, validating the experimental setup"
Negative Control,"Definition: A control group that is not exposed to the experimental treatment or variable and is expected to produce no response; Course Example: In an Ecoplate experiment, a well without any carbon source is used as a negative control to measure baseline color change; Application: Helps to confirm that any observed effects are due to the experimental treatment and not other factors; Common Misconception: Negative controls are sometimes thought to be unnecessary, but they are crucial for identifying background noise in experiments."
Shannon Diversity Index,"Definition: A mathematical measure used to quantify biodiversity in a community by considering both species richness and evenness; Course Example: Calculating the Shannon Diversity Index for microbial communities found in soil samples plated on Ecoplates; Application: Used to compare the biodiversity of different ecosystems or microbial communities; Common Misconception: Students often confuse Shannon Diversity Index with simple species count; however, it also incorporates evenness."
Richness,"Definition: The number of different, unique species present in a particular community or ecosystem. It can also refer to carbon sources metabolized; Shannon H increases as richness increases; Course Example: Counting the number of unique carbon sources metabolized from an Ecoplate; Application: Important for assessing the biodiversity of a sample; Common Misconception: Richness only counts the number of species but does not account for how many individuals are present from each species."
Evenness,"Definition: A measure of how equally the individuals in a community are distributed among the different species present. Shannon H increases as evenness increases; Course Example: Two soil samples may have the same species richness but differ in evenness if one sample has species more equally represented than the other; Application: Evenness is used alongside richness to understand the overall structure of a community; Common Misconception: Students may overlook evenness and focus solely on richness, missing insights about community balance."
Biolog Ecoplate,"Definition: A tool used to measure the functional diversity of a microbial community by analyzing the utilization of various carbon sources in the microplate wells such as carboxylic acids, carbohydrates, amino acids, polymers, and amines; Course Example: Using Ecoplates to assess the functional diversity of bacteria isolated from soil samples; Application: Helps in identifying the metabolic capabilities of a community; Common Misconception: Ecoplates are often mistaken for tools that identify species, but they actually assess functional diversity."
Bacterial vs. Fungal Colony Morphology,"Definition: The distinct physical characteristics that differentiate bacterial colonies (e.g., smooth, shiny) from fungal colonies (e.g., fuzzy, large) when grown on agar plates; Application: Used in microbiology for the identification of organisms based on growth patterns; Common Misconception: Students may confuse colony morphology with individual cell morphology; colony morphology refers to the appearance of the whole colony."
Functional Biodiversity,"Definition: The range of different biological traits within a community, such as the ability to use different carbon sources, that contribute to ecosystem functioning; Course Example: Assessing functional biodiversity through the use of Biolog Ecoplates in microbial community analysis; Application: Important for understanding the roles that different species play within an ecosystem; Common Misconception: Functional biodiversity is sometimes confused with species diversity, but it specifically refers to the variety of functions performed by the organisms."
Incubation,"Definition: The process of maintaining cultures or samples under specific environmental conditions (e.g., temperature, humidity) to promote growth or chemical reactions; Course Example: Incubating Ecoplates for 1 week at 30°C to allow microbial growth and color development; Application: Used in labs to optimize conditions for the growth of bacteria, fungi, or other organisms; Common Misconception: Incubation times and temperatures vary greatly; assuming one set of conditions works for all organisms is incorrect."
Lactose Fermentation,"Definition: A metabolic process where bacteria convert lactose into lactic acid, often used as a differential marker in microbial identification; Course Example: Using MacConkey agar to identify lactose-fermenting bacteria by the color change in the media; Application: Helps distinguish between different types of bacteria, particularly in clinical and environmental samples; Common Misconception: Students often assume all bacteria can ferment lactose, but only specific bacteria possess this ability."
Percent Moisture,"Definition: The amount of water present in a sample, expressed as a percentage, often measured to assess environmental conditions affecting microbial growth; it is the ratio of water mass over dry soil mass; Course Example: Measuring soil moisture in samples to understand how it affects microbial community composition; Application: Used in environmental microbiology to determine the water content in soil and its impact on microbial growth; Common Misconception: Percent moisture is sometimes confused with water potential, but they are different concepts related to water in soil."
A590,"Definition: A measurement of absorbance at 590 nm wavelength, typically used in spectrophotometry to quantify the concentration of substances in a sample; Course Example: Measuring the absorbance of microbial growth in an Ecoplate well to determine metabolic activity; Application: Commonly used to assess cell density and metabolic activity in microbial cultures"
100% Stacked Bar Graph,"Definition: A bar graph where each bar represents 100% of a category, and different segments within each bar represent relative proportions of subcategories; Course Example: Visualizing the relative abundance of different microbial species across various samples; Application: Useful for showing proportions within a whole, such as species composition in different environments; Common Misconception: Students sometimes confuse stacked bar graphs with grouped bar graphs, which show different data."
Chi-Squared Test,"Definition: A statistical test used to determine whether there is a significant association between two categorical variables; Course Example: Using a Chi-squared test to analyze contingency tables from microbial data; Application: Frequently applied in hypothesis testing for categorical data in biology; Common Misconception: Students may incorrectly apply the test to continuous data, which requires different statistical methods."
Culture-Dependent Methods,"Definition: Experimental techniques that involve the growth of microorganisms in laboratory conditions, typically on solid or liquid media; Course Example: Isolating bacteria from soil by culturing them on TSA plates; Application: Used to study microorganisms that can be grown in lab environments; Common Misconception: Culture-dependent methods do not capture all species in a community, as some microbes cannot be cultured under standard conditions."
Culture-Independent Methods,"Definition: Techniques used to study microorganisms without the need to culture them, often relying on DNA sequencing or other molecular methods; Course Example: Sequencing microbial DNA directly from soil samples to analyze community composition; Application: Provides a more complete view of microbial diversity, including unculturable species; Common Misconception: Culture-independent methods are often mistaken for providing direct functional data, but they primarily provide genetic information."
Placebo Effect,"Definition: A phenomenon where a participant experiences a perceived improvement in condition due to their belief in the effectiveness of a treatment, even if the treatment is inactive; Course Example: Testing the placebo effect in a clinical trial involving a new antibiotic for bacterial infections; Application: Important in experimental design to differentiate between true effects and psychological effects; Common Misconception: The placebo effect is often thought to be the same as no treatment, but it actively involves participant perception."
How to Master a Math Equation in Biology: GIVeRS,"Definition: A systematic approach to solving mathematical equations in biology by breaking down the problem into Goals, Variables, Relationships, and Simple Examples; Course Example: Applying GIVeRS to solve problems involving population growth models or diversity indices, such as the Shannon Diversity Index (H); Example: GIVeRS for Shannon Diversity Index calculation: 1. **Goal**: Calculate the Shannon Diversity Index (H) to measure species diversity in a sample; 2. **Variables**: pi: Proportion of each species in the total sample (e.g., Species A has 40 individuals in a sample of 100, so pi for Species A = 40/100 = 0.4); 3. **Relationships**: The equation for Shannon H is: H = -∑(pi * ln(pi)), where pi is the proportion of each species and ln(pi) is the natural logarithm of pi; 4. **Simple Example**: Suppose a sample has 3 species with the following proportions: Species A: pi = 0.6; Species B: pi = 0.3; Species C: pi = 0.1. Applying the formula: H = -[(0.6 * ln(0.6)) + (0.3 * ln(0.3)) + (0.1 * ln(0.1))]; H ≈ -[(0.6 * -0.51) + (0.3 * -1.20) + (0.1 * -2.30)]; H ≈ 0.307 + 0.36 + 0.23 = 0.897; 5. **Solution**: The Shannon Diversity Index for the sample is H ≈ 0.897, indicating a moderate level of diversity; Application: The GIVeRS approach helps break down complex equations like Shannon H into manageable steps, making it easier to solve them in a structured way; Common Misconception: Students often skip the step of defining relationships and variables, leading to confusion in applying the formula correctly."
Correlation Matrix,"Definition: A table that shows the correlation coefficients between multiple variables, indicating the strength and direction of their relationships; Course Example: Creating a correlation matrix to compare microbial abundance with environmental factors like pH and moisture; Application: Useful for identifying patterns and relationships in large datasets; Common Misconception: Students often interpret correlation as causation, when it actually only measures association."
Excel function IF(),"Definition: A logical function in Excel that performs an action if a condition is true and another action if the condition is false; Course Example: Using IF statements to calculate pass/fail results based on threshold values in experimental data. For example, =IF(A1>70, 'Pass', 'Fail') will return 'Pass' if the value in A1 is greater than 70, otherwise, it returns 'Fail'; Application: Useful in analyzing lab results and automating decisions in spreadsheets, such as categorizing samples based on results; Common Misconception: IF statements are often incorrectly nested or overly complex, leading to errors in decision trees. For example, improper nesting like =IF(A1>70, IF(A2<50, 'Check'), 'Fail') can cause confusion."
Excel function SUM(),"Definition: A basic Excel function that adds up a range of selected cells and returns the total sum. For example, =SUM(A1:A10) will add up all the values from cells A1 to A10; Course Example: Summing the values from multiple experimental trials to calculate a total. For example, =SUM(B1:B5) might be used to sum the total growth measurements of a microbial sample over five trials; Application: Widely used in data analysis for calculating totals and averages; Common Misconception: Incorrect cell ranges are often selected, leading to inaccurate totals. For instance, if one accidentally selects an extra row like =SUM(A1:A11), it can skew results."
Use of $ within Excel Functions,"Definition: In Excel, the $ symbol is used to create absolute cell references, locking the cell address in formulas when copying them to other cells. For example, using $A$1 in a formula like =B1*$A$1 ensures that A1 remains constant when copied to other cells; Course Example: Locking reference cells in a formula that is copied across a range of cells in data analysis. For instance, =B1*$A$1 when copied down a column will still reference A1 while B1 changes; Application: Essential for accurate data manipulation when formulas need to maintain certain cell references; Common Misconception: Students often forget to use the $ symbol, causing formulas to reference unintended cells when copied. For example, copying =A1*B1 without $ will lead to incorrect results when the formula shifts."
DNA Extraction,"DNA Extraction is the process of isolating DNA from cells or tissues by breaking down cell membranes and other structures to release DNA. This involves cell lysis, removal of proteins and contaminants, and DNA purification. In BILD 4, you'll extract DNA from soil bacteria, paying careful attention to where the DNA is at every step to avoid discarding it during filtration and centrifugation."
How to lyse cells,"Lysing cells involves breaking open the cell membrane to release the contents inside, particularly nucleic acids or proteins. Methods include mechanical disruption (e.g., bead beating in a vortex) and chemical lysis (e.g., using detergents such as soap to disrupt cell membranes). In BILD 4, you will use both methods to extract DNA from bacterial cells."
Vortex,"A vortex is a laboratory device used to mix small vials of liquid by creating a rapid, circular motion that efficiently mixes the contents. In BILD 4, you will use a vortex to aid in the mechanical lysis of cells during DNA extraction by mixing cells with ceramic beads."
Centrifugation,"Centrifugation uses centrifugal force to separate particles from a solution based on their size and density. In DNA extraction, centrifugation is critical for separating cellular debris from the DNA-containing supernatant."
Elution Buffer,"An elution buffer is used in DNA extraction to release purified DNA from the solid matrix of a spin column after contaminants have been washed away. In BILD 4, you'll use an elution buffer to collect the final purified DNA after the extraction process."
NanoDrop Spectrophotometer,"A NanoDrop spectrophotometer measures the concentration and purity of DNA, RNA, and protein samples. For DNA purity, the A260:A280 ratio should be around 1.8 to indicate pure DNA. Concentrations for PCR should typically range between 20 ng/µL and 150 ng/µL. In BILD 4, you will use the NanoDrop to assess the concentration and purity of your DNA before PCR, ensuring a high-quality sample."
PCR (Polymerase Chain Reaction),"PCR is a laboratory technique used to amplify specific DNA sequences through cycles of denaturation, annealing, and extension. In BILD 4, PCR will be used to amplify the 16S rRNA gene from soil bacteria to help identify bacterial species present in the sample."
16S rRNA Gene,"The 16S rRNA gene is used in bacterial identification and classification due to its highly conserved regions and variable regions that differ between species. In BILD 4, you will amplify and sequence this gene to identify bacteria present in your soil samples."
Denaturation in PCR,"Denaturation in PCR is the first step where double-stranded DNA is heated to 95°C to separate the strands, allowing primers to bind during the annealing step."
Annealing in PCR,"Annealing in PCR is the step where the temperature is lowered to allow primers to bind to complementary sequences on single-stranded DNA templates. The annealing temperature must match the melting temperature of the primers, typically between 50-65°C."
Extension in PCR,"Extension in PCR occurs when Taq DNA polymerase synthesizes new DNA strands by adding nucleotides to the primers. This step typically occurs at 72°C, the optimal temperature for Taq polymerase."
Thermocycler,"A thermocycler is a laboratory instrument that automates the PCR process by cycling through the necessary temperatures for denaturation, annealing, and extension. In BILD 4, you will program and use a thermocycler to amplify the 16S rRNA gene."
Primers in PCR,"Primers are short sequences of nucleotides that bind to specific regions of the target DNA during PCR. Proper primer design is essential to ensure specific binding and successful amplification of the desired DNA sequence. In BILD 4, primers targeting the 16S rRNA gene are used to identify bacterial species."
Agarose Gel,"Agarose gel is used in gel electrophoresis to separate DNA fragments based on size. In BILD 4, you will use agarose gels to visualize the results of your PCR and confirm the size of the amplified 16S rRNA gene."
Gel Electrophoresis,"Gel electrophoresis separates nucleic acids or proteins based on their size and charge by applying an electric current through a gel matrix. DNA is negatively charged and moves toward the positive electrode, with smaller fragments moving faster through the gel. This technique will allow you to check the success of your PCR reactions in BILD 4."
DNA Ladder,"A DNA ladder is a molecular weight marker containing DNA fragments of known sizes used as a reference to determine the size of DNA fragments in gel electrophoresis. In BILD 4, you will compare your PCR products to a DNA ladder to verify their size."
Loading Dye,Loading dye is a colored dye mixed with DNA samples before loading into a gel for electrophoresis. It helps visualize the progress of the migration and also contains glycerol or sucrose to make the sample denser so it sinks into the wells of the gel.
