TERM,SCHEMA
LB Plates,"Definition: Lysogeny Broth (LB) agar plates are a nutrient-rich medium used for the growth of bacteria, especially Escherichia coli. Composition: Contains tryptone, yeast extract, and sodium chloride, which provide essential nutrients for bacterial growth. Application: Widely used in molecular biology and microbiology for cloning, plasmid propagation, and general bacterial culture. Example: E. coli cultures are often grown on LB plates to select for transformed colonies."
MacConkey Plates,"Definition: MacConkey agar plates are a selective and differential medium designed to isolate and differentiate enteric bacteria based on their ability to ferment lactose. Composition: Contains bile salts, crystal violet, lactose, and neutral red dye. Application: Used primarily to identify and differentiate between Gram-negative bacteria, such as E. coli (lactose fermenter) and Salmonella (non-lactose fermenter). Example: Soil samples are plated on MacConkey agar to detect and differentiate coliform bacteria."
Selective Media,"Definition: Culture media designed to selectively grow specific types of microorganisms while inhibiting the growth of others. Application: Used to isolate and identify target organisms from complex microbial communities. Example: MacConkey agar is selective for Gram-negative bacteria, allowing for the differentiation of lactose fermenters and non-fermenters."
Differential Media,"Definition: Culture media that allow for the differentiation of microorganisms based on their biochemical or metabolic properties. Application: Used to distinguish between different species or strains of bacteria based on specific characteristics. Example: Blood agar differentiates between hemolytic and non-hemolytic bacteria based on their ability to lyse red blood cells."
T-test,"Definition: A statistical test used to compare the means of two groups to determine if they are significantly different from each other. Types: 1-tailed and 2-tailed t-tests. A 2-tailed t-test is used when no assumption is made about which group will have a higher mean. Calculation: The t-test results in a t-statistic, which is influenced by the difference between group means and the variation within each group. Bigger differences in means, smaller standard deviations, larger sample sizes all result in smaller p-values. Application: Often used in experiments to compare the means of two sets of continuous data. Example: In an experiment comparing correct and incorrect pipetting techniques, a t-test can determine if the observed volumes pipetted are significantly different."
Mean,"Definition: The average value of a set of numbers, calculated by summing all the values and dividing by the number of values. Calculation: Mean μ = ∑xi / N, where xi is each individual value and N is the number of values. Application: Used to determine the central tendency of a data set, providing a simple summary of the overall distribution of values. Example: In experiments, the mean volume of liquid pipetted using a specific technique can be compared to determine accuracy and precision."
Primary Research Articles,"Definition: Articles that report original research findings, including detailed methodology, data analysis, and conclusions. Process: Written by scientists, reviewed by peers in the same field, and published in scientific journals. Application: Provides firsthand accounts of research studies and is used to support further research and experiments. Example: An article detailing the results of an experiment on the effects of soil pH on microbial diversity."
Secondary Review Articles,"Definition: Articles that synthesize and summarize the findings from multiple primary research studies on a specific topic. Purpose: To provide a comprehensive overview and highlight trends, gaps, and future directions in the research area. Application: Used to gain a broad understanding of a field and to identify key studies and findings. Example: A review article summarizing various studies on the impact of climate change on plant biodiversity."
Peer-Review Process,"Definition: A critical evaluation process where experts in the same field review a research manuscript for accuracy, quality, and relevance before it is published. Steps: Includes submission, review by peers, feedback, revisions, and final decision on publication. Application: Ensures the integrity and credibility of scientific literature. Example: A submitted manuscript on a new genetic sequencing technique undergoes peer review to verify its methods and findings."
Popular Science Articles,"Definition: Articles that summarize and explain scientific research and concepts for a general audience. Purpose: To make scientific knowledge accessible and understandable to non-specialists. Application: Used to increase public understanding and interest in science, often found in magazines, newspapers, and online platforms. Example: An article in a science magazine explaining the latest discoveries in microbiome research."
PPE (Personal Protective Equipment),"Definition: Equipment worn to minimize exposure to hazards that can cause serious injuries and illnesses. Components: Includes lab coats, gloves, safety goggles, and closed-toe shoes. Application: Essential for maintaining safety during experiments to protect against chemical spills, splashes, and other hazards. Example: In the lab, wearing PPE is mandatory when you or anyone else in the same research space is handling chemicals and biological samples to prevent contamination and injury."
Proper Lab Attire,"Definition: Appropriate clothing and gear worn in a lab setting to ensure safety. Components: Includes closed-toed shoes, long pants, lab coats, and ensuring no skin is exposed below the lab coat. Application: Prevents exposure to hazardous materials and ensures compliance with safety regulations. Example: Students must wear proper lab attire during all lab sessions to participate and avoid potential safety hazards."
Scientific Method,"Definition: A systematic process for conducting scientific research that involves making observations, forming a hypothesis, conducting experiments, analyzing data, and drawing conclusions. Steps: Observation, hypothesis, experimentation, data analysis, and conclusion. Application: Used to ensure experiments are conducted in a structured and unbiased manner. Example: In the lab, students use the scientific method to test hypotheses about soil pH and its effect on microbial diversity."
California sagebrush (Artemesia californica),"Definition: A shrub native to California known for its aromatic leaves and adaptations to dry conditions. Characteristics: Gray-green, feathery foliage that becomes drought-deciduous, losing its leaves during dry seasons to conserve water. Application: Studied in the lab for its ecological role and adaptation strategies in coastal sage scrub habitats. Example: In fieldwork, students observe California sagebrush to understand its survival mechanisms and impact on soil properties."
Lemonadeberry (Rhus integrifolia),"Definition: A shrub native to California known for its clusters of red berries and thick, waxy leaves. Characteristics: Has sclerophyllous leaves that reduce water loss and allow for year-round photosynthesis. Application: Studied for its adaptation to dry conditions and its ecological role in coastal sage scrub habitats. Example: In fieldwork, students examine lemonadeberry to understand how its leaf structure aids in drought resistance."
Beyonce Tamed A Rhino (mnemonic for lab steps),Definition: A mnemonic to remember key steps in conducting lab procedures. Steps: 1. Breathe: Stay calm and take a pause before rushing to action. 2. Think: Analyze the situation and plan your steps. Where can you find resources or confirm what to correctly do next. 3. Ask: Clarify doubts and ask for help if needed of either group mates or supervisors. 4. Record: Document all observations and procedures meticulously. Application: Helps students maintain a systematic and calm approach during experiments. Example: Used during pipetting exercises to ensure students follow proper technique and documentation.
"P10, P100, P1000 micropipetters","Definition: Types of micropipettes designed for measuring and transferring specific volumes of liquid. Volume Ranges: P10: 0.5–10 µL, P100: 10–100 µL, P1000: 100–1000 µL. 1000 µL = 1mL. Application: Used in experiments requiring precise liquid handling, such as DNA extraction and PCR setup. Example: In pipetting exercises, different micropipettes are used to measure and transfer precise volumes of water or reagents."
Tare,"Definition: Setting the balance to zero with the container on it so that the measurement excludes the container's weight. Application: Ensures accurate measurement of the sample's weight by excluding the weight of the container. Example: When measuring soil samples, the balance is tared with the empty vial to exclude its weight from the measurement."
Deionized (DI) water,"Definition: Water that has had almost all of its mineral ions removed, making it highly pure. Application: Used in experiments to prevent contamination and ensure the accuracy of results. Example: DI water is used to rinse pH meters and prepare solutions for soil analysis."
Scripps Coastal Reserve (SCR),"Definition: A natural reserve managed by UCSD as part of the UC Natural Reserve System, used for research and education. Characteristics: Hosts over 200 plant species and various habitats, including coastal sage scrub. Application: Used in field studies to collect soil samples and observe plant adaptations. Example: Students conduct field trips to SCR to collect soil samples and study plant ecology."
Microbiome,"Definition: A community of microorganisms (bacteria, fungi, viruses, etc.) that inhabit a particular environment, such as soil, water, or the human gut. Application: Understanding the microbiome is essential for studying ecological interactions and environmental health. Example: Analyzing the soil microbiome to determine the impact of different plants on microbial diversity."
Nitrile Gloves,"Definition: Disposable gloves made from synthetic rubber, providing protection against chemicals and infectious agents. Application: Used in laboratory settings to protect hands from exposure to hazardous substances and to prevent contamination of samples. Example: Worn by students during experiments involving chemicals or biological samples to ensure safety and cleanliness."
Using a Balance,"Definition: The process of measuring the mass of an object using a laboratory balance. Steps: 1. Ensure the balance is on a stable, level surface. 2. Calibrate the balance if necessary. 3. Tare the balance with an empty container if using one. 4. Place the object or sample on the balance and record the mass. Application: Essential for obtaining accurate measurements of samples in experiments. Example: Used to measure the mass of soil samples before and after drying to determine soil moisture content."
Excel Function =AVERAGE,"Definition: A function in Excel used to calculate the mean of a range of numbers. Formula: =AVERAGE(number1, [number2], ...). Application: Useful for determining the central tendency of a dataset in lab reports and data analysis. Example: =AVERAGE(A1:A10) calculates the average value of the numbers in cells A1 through A10."
Excel Function =STDEV,"Definition: A function in Excel used to calculate the standard deviation of a range of numbers. Formula: =STDEV(number1, [number2], ...). Application: Used to measure the amount of variation or dispersion in a dataset, important for data analysis in experiments. Example: =STDEV(A1:A10) calculates the standard deviation of the numbers in cells A1 through A10."
Excel Function =TTEST,"Definition: A function in Excel used to perform a t-test to compare the means of two samples. Formula: =TTEST(array1, array2, tails, type). Application: Used in statistical analysis to determine if there is a significant difference between the means of two datasets. Example: =TTEST(A1:A10, B1:B10, 2, 2) performs a two-tailed t-test assuming two samples with equal variances, comparing the means of the numbers in cells A1:A10 and B1:B10."
cognitive bias,"Definition: A systematic pattern of deviation from norm or rationality in judgment, whereby inferences about other people and situations may be drawn in an illogical fashion. Types: Confirmation bias, anchoring bias, availability heuristic, etc. Application: Important to recognize and address cognitive biases in scientific research to ensure objectivity and validity of results. Example: Researchers must be aware of confirmation bias when interpreting data to avoid favoring results that confirm their hypotheses."
